,district,price,age,newness,squaremeters
1055, Esenyurt ,4850000,2,Sıfır,195 m2
1056, Beylikdüzü ,2149000,0 (Yeni),Sıfır,100 m2
1057, Esenyurt ,2200000,4,İkinci El,130 m2
1058, Küçükçekmece ,1950000,0 (Yeni),85 m2,Sıfır
1059, Esenyurt ,1450000,5-10,İkinci El,170 m2
1060, Esenyurt ,1095000,0 (Yeni),Sıfır,100 m2
1061, Bahçelievler ,1270000,11-15,1 m2,İkinci El
1062, Bahçelievler ,1270000,11-15,1 m2,İkinci El
1063, Kadıköy ,11950000,21 Ve Üzeri,İkinci El,200 m2
1064, Beylikdüzü ,1400000,0 (Yeni),Sıfır,100 m2
1065, Maltepe ,2185000,5-10,İkinci El,90 m2
1066, Eyüpsultan ,1575000,3,70 m2,İkinci El
1067, Üsküdar ,158000000,16-20,800 m2,
1068, Gaziosmanpaşa ,1100000,16-20,İkinci El,100 m2
1069, Gaziosmanpaşa ,1625000,11-15,120 m2,İkinci El
1070, Esenyurt ,1350000,5-10,İkinci El,115 m2
1071, Silivri ,2930000,16-20,190 m2,
1072, Esenyurt ,810000,2,Sıfır,85 m2
1073, Esenyurt ,1689000,3,Sıfır,240 m2
1074, Tuzla ,2625000,0 (Yeni),95 m2,
1075, Ümraniye ,1200000,11-15,90 m2,
1076, Beylikdüzü ,1500000,0 (Yeni),Sıfır,90 m2
1077, Beylikdüzü ,2900000,0 (Yeni),Sıfır,200 m2
1078, Beylikdüzü ,1630000,0 (Yeni),Sıfır,95 m2
1079, Başakşehir ,1750000,0 (Yeni),111 m2,
1080, Beylikdüzü ,1630000,0 (Yeni),Sıfır,95 m2
1081, Başakşehir ,1750000,0 (Yeni),111 m2,
1082, Başakşehir ,1750000,0 (Yeni),Sıfır,111 m2
1083, Başakşehir ,1750000,0 (Yeni),Sıfır,111 m2
1084, Beylikdüzü ,1650000,4,İkinci El,100 m2
1085, Beylikdüzü ,1200000,5-10,İkinci El,100 m2
1086, Beylikdüzü ,1250000,5-10,İkinci El,60 m2
1087, Kadıköy ,6550000,21 Ve Üzeri,145 m2,
1088, Beylikdüzü ,2350000,1,Sıfır,150 m2
1089, Kadıköy ,15500000,5-10,150 m2,İkinci El
1090, Ataşehir ,3750000,11-15,İkinci El,105 m2
1091, Sultangazi ,2499000,4,100 m2,
1092, Esenyurt ,909000,1,Sıfır,100 m2
1093, Eyüpsultan ,2425000,3,İkinci El,75 m2
1094, Pendik ,1370000,0 (Yeni),İkinci El,75 m2
1095, Beylikdüzü ,870000,0 (Yeni),Sıfır,95 m2
1096, Küçükçekmece ,1995000,3,120 m2,
1097, Bahçelievler ,2350000,3,Sıfır,75 m2
1098, Kadıköy ,11000000,4,115 m2,
1099, Küçükçekmece ,1175000,21 Ve Üzeri,İkinci El,90 m2
1100, Beyoğlu ,2000000,21 Ve Üzeri,İkinci El,120 m2
1101, Kadıköy ,13950000,4,125 m2,
1102, Üsküdar ,2150000,21 Ve Üzeri,İkinci El,115 m2
1103, Pendik ,1950000,5-10,İkinci El,115 m2
1104, Kağıthane ,2570000,3,67 m2,
1105, Pendik ,6700000,11-15,150 m2,
1106, Bahçelievler ,1800000,11-15,100 m2,
1107, Ümraniye ,3950000,4,160 m2,
1108, Bakırköy ,25000000,11-15,200 m2,
1109, Maltepe ,3400000,11-15,80 m2,
1110, Beyoğlu ,1200000,21 Ve Üzeri,75 m2,
1111, Kağıthane ,2075000,1,100 m2,
1112, Başakşehir ,6750000,16-20,320 m2,
1113, Maltepe ,3500000,21 Ve Üzeri,160 m2,
1114, Esenyurt ,699000,4,85 m2,
1115, Esenyurt ,739000,5-10,105 m2,
1116, Esenyurt ,1400000,1,85 m2,
1117, Ümraniye ,2850000,11-15,125 m2,
1118, Üsküdar ,5600000,0 (Yeni),155 m2,
1119, Üsküdar ,3400000,0 (Yeni),80 m2,
1120, Beylikdüzü ,1799000,0 (Yeni),95 m2,
1121, Esenyurt ,669000,2,95 m2,
1122, Esenyurt ,1150000,5-10,110 m2,
1123, Pendik ,1765000,4,94 m2,
1124, Pendik ,1380000,21 Ve Üzeri,130 m2,
1125, Esenyurt ,3800000,2,142 m2,
1126, Beşiktaş ,3990000,21 Ve Üzeri,85 m2,
1127, Beşiktaş ,3990000,21 Ve Üzeri,İkinci El,85 m2
1128, Başakşehir ,1550000,4,İkinci El,140 m2
1129, Güngören ,4250000,16-20,200 m2,
1130, Silivri ,1000000,5-10,70 m2,
1131, Arnavutköy ,3450000,4,220 m2,
1132, Tuzla ,2750000,5-10,90 m2,
1133, Beylikdüzü ,18000000,21 Ve Üzeri,1.000 m2,
1134, Beylikdüzü ,5250000,21 Ve Üzeri,270 m2,
1135, Maltepe ,1660000,5-10,78 m2,
1136, Bağcılar ,2700000,0 (Yeni),135 m2,
1137, Esenyurt ,899999,0 (Yeni),120 m2,Sıfır
1138, Esenyurt ,1710000,4,Sıfır,160 m2
1139, Beylikdüzü ,1645000,0 (Yeni),Sıfır,90 m2
1140, Avcılar ,2050000,0 (Yeni),Sıfır,80 m2
1141, Beylikdüzü ,1499000,5-10,Sıfır,95 m2
1142, Beylikdüzü ,950000,1,Sıfır,88 m2
1143, Zeytinburnu ,11600000,2,Sıfır,100 m2
1144, Beylikdüzü ,1349000,0 (Yeni),İkinci El,90 m2
1145, Kartal ,2250000,5-10,İkinci El,100 m2
1146, Kağıthane ,2250000,5-10,160 m2,
1147, Kartal ,2325000,0 (Yeni),Sıfır,80 m2
1148, Beylikdüzü ,4200000,0 (Yeni),Sıfır,240 m2
1149, Kartal ,3000000,11-15,İkinci El,180 m2
1150, Kartal ,1250000,5-10,İkinci El,90 m2
1151, Maltepe ,3000000,5-10,İkinci El,90 m2
1152, Üsküdar ,3700000,3,100 m2,
1153, Ataşehir ,4250000,4,İkinci El,115 m2
1154, Ataşehir ,3750000,21 Ve Üzeri,İkinci El,115 m2
1155, Tuzla ,1600000,2,İkinci El,75 m2
1156, Beylikdüzü ,819900,0 (Yeni),Sıfır,110 m2
1157, Kadıköy ,4950000,21 Ve Üzeri,90 m2,İkinci El
1158, Esenler ,2690000,0 (Yeni),115 m2,Sıfır
1159, Kadıköy ,19000000,0 (Yeni),120 m2,Sıfır
1160, Kadıköy ,6575000,3,96 m2,İkinci El
1161, Sancaktepe ,1584000,0 (Yeni),Sıfır,85 m2
1162, Esenyurt ,795000,1,Sıfır,100 m2
1163, Esenyurt ,725000,1,İkinci El,95 m2
1164, Beylikdüzü ,2515000,0 (Yeni),Sıfır,135 m2
1165, Esenyurt ,659000,4,İkinci El,97 m2
1166, Başakşehir ,3600000,2,140 m2,
1167, Fatih ,1050000,21 Ve Üzeri,İkinci El,80 m2
1168, Küçükçekmece ,1060000,0 (Yeni),70 m2,
1169, Esenyurt ,699000,4,İkinci El,75 m2
1170, Esenyurt ,659000,4,İkinci El,97 m2
1171, Başakşehir ,3600000,2,140 m2,
1172, Fatih ,1050000,21 Ve Üzeri,İkinci El,80 m2
1173, Küçükçekmece ,1060000,0 (Yeni),70 m2,
1174, Esenyurt ,699000,4,İkinci El,75 m2
1175, Kadıköy ,9700000,5-10,İkinci El,100 m2
1176, Avcılar ,1480000,5-10,İkinci El,90 m2
1177, Beyoğlu ,1500000,21 Ve Üzeri,İkinci El,120 m2
1178, Beylikdüzü ,1689000,0 (Yeni),90 m2,
1179, Beylikdüzü ,1249900,0 (Yeni),Sıfır,115 m2
1180, Kartal ,2100000,5-10,İkinci El,100 m2
1181, Kadıköy ,6795000,21 Ve Üzeri,İkinci El,110 m2
1182, Sancaktepe ,1685000,0 (Yeni),Sıfır,100 m2
1183, Maltepe ,2500000,21 Ve Üzeri,İkinci El,80 m2
1184, Başakşehir ,2050000,0 (Yeni),195 m2,
1185, Avcılar ,2100000,1,90 m2,
1186, Sancaktepe ,1170000,5-10,90 m2,
1187, Çekmeköy ,1450000,0 (Yeni),80 m2,
1188, Fatih ,1300000,5-10,İkinci El,85 m2
1189, Bahçelievler ,650000,21 Ve Üzeri,İkinci El,80 m2
1190, Kağıthane ,1800000,4,60 m2,
1191, Büyükçekmece ,4200000,3,135 m2,
1192, Esenler ,1150000,21 Ve Üzeri,İkinci El,76 m2
1193, Esenyurt ,850000,0 (Yeni),100 m2,
1194, Kartal ,1190000,5-10,İkinci El,70 m2
1195, Sultanbeyli ,1900000,2,İkinci El,120 m2
1196, Esenyurt ,1250000,5-10,İkinci El,90 m2
1197, Kadıköy ,4490000,21 Ve Üzeri,115 m2,
1198, Esenyurt ,955000,3,İkinci El,95 m2
1199, Arnavutköy ,1550000,16-20,75 m2,İkinci El
1200, Esenyurt ,1200000,11-15,İkinci El,75 m2
1201, Üsküdar ,38000000,11-15,270 m2,
1202, Beylikdüzü ,3150000,5-10,İkinci El,140 m2
1203, Esenyurt ,1250000,5-10,İkinci El,90 m2
1204, Esenyurt ,629999,5-10,70 m2,
1205, Sancaktepe ,1320000,0 (Yeni),Sıfır,80 m2
1206, Beylikdüzü ,1549900,0 (Yeni),Sıfır,110 m2
1207, Esenyurt ,920000,4,İkinci El,90 m2
1208, Sultanbeyli ,3550000,5-10,İkinci El,145 m2
1209, Bahçelievler ,840000,11-15,İkinci El,75 m2
1210, Sarıyer ,19300000,5-10,300 m2,
1211, Esenyurt ,925000,3,İkinci El,95 m2
1212, Beylikdüzü ,815000,0 (Yeni),Sıfır,110 m2
1213, Ümraniye ,1700000,11-15,90 m2,
1214, Esenyurt ,1250000,5-10,80 m2,
1215, Fatih ,1300000,11-15,İkinci El,80 m2
1216, Arnavutköy ,2700000,21 Ve Üzeri,140 m2,
1217, Pendik ,2500000,4,İkinci El,145 m2
1218, Büyükçekmece ,8300000,11-15,300 m2,
1219, Bahçelievler ,1420000,11-15,85 m2,
1220, Bağcılar ,2700000,5-10,100 m2,
1221, Beylikdüzü ,5750000,5-10,İkinci El,235 m2
1222, Kadıköy ,7000000,5-10,80 m2,
1223, Bakırköy ,12950000,16-20,220 m2,
1224, Bakırköy ,2600000,21 Ve Üzeri,75 m2,
1225, Sarıyer ,4500000,16-20,65 m2,
1226, Beşiktaş ,6750000,16-20,150 m2,
1227, Bahçelievler ,5000000,0 (Yeni),100 m2,
1228, Üsküdar ,9500000,0 (Yeni),160 m2,
1229, Küçükçekmece ,2950000,0 (Yeni),Sıfır,150 m2
1230, Silivri ,1250000,16-20,İkinci El,105 m2
1231, Silivri ,2200000,0 (Yeni),Sıfır,130 m2
1232, Silivri ,2350000,4,İkinci El,130 m2
1233, Büyükçekmece ,1800000,21 Ve Üzeri,İkinci El,140 m2
1234, Üsküdar ,1900000,21 Ve Üzeri,74 m2,İkinci El
1235, Beylikdüzü ,2900000,0 (Yeni),120 m2,
1236, Beylikdüzü ,950000,2,İkinci El,90 m2
1237, Esenyurt ,569000,5-10,100 m2,
1238, Esenyurt ,1000000,5-10,Sıfır,120 m2
1239, Beylikdüzü ,729900,0 (Yeni),Sıfır,95 m2
1240, Kartal ,950000,21 Ve Üzeri,90 m2,
1241, Beylikdüzü ,3150000,5-10,İkinci El,140 m2
1242, Beylikdüzü ,4000000,2,İkinci El,120 m2
1243, Şişli ,1800000,21 Ve Üzeri,İkinci El,85 m2
1244, Ataşehir ,1750000,11-15,İkinci El,80 m2
1245, Pendik ,910000,11-15,İkinci El,100 m2
1246, Kadıköy ,5500000,0 (Yeni),85 m2,
1247, Bağcılar ,750000,5-10,70 m2,
1248, Silivri ,1005000,11-15,56 m2,
1249, Avcılar ,850000,0 (Yeni),İkinci El,100 m2
1250, Tuzla ,1720000,0 (Yeni),86 m2,
1251, Esenyurt ,750000,5-10,İkinci El,100 m2
1252, Büyükçekmece ,2800000,5-10,İkinci El,120 m2
1253, Esenyurt ,1250000,0 (Yeni),Sıfır,90 m2
1254, Bahçelievler ,1850000,0 (Yeni),Sıfır,75 m2
1255, Eyüpsultan ,3450000,3,İkinci El,180 m2
1256, Silivri ,1150000,0 (Yeni),90 m2,
1257, Kartal ,19920000,21 Ve Üzeri,İkinci El,442 m2
1258, Kağıthane ,3000000,5-10,220 m2,
1259, Küçükçekmece ,2150000,5-10,183 m2,
1260, Kağıthane ,3000000,5-10,220 m2,
1261, Küçükçekmece ,2150000,5-10,183 m2,
1262, Pendik ,2100000,11-15,110 m2,
1263, Pendik ,1380000,0 (Yeni),72 m2,
1264, Beylikdüzü ,7900000,3,160 m2,
1265, Bahçelievler ,1450000,11-15,85 m2,
1266, Sarıyer ,5050000,5-10,180 m2,
1267, Bakırköy ,4850000,21 Ve Üzeri,100 m2,
1268, Esenyurt ,4600000,5-10,90 m2,
1269, Kağıthane ,3950000,5-10,130 m2,
1270, Küçükçekmece ,685000,5-10,Sıfır,65 m2
1271, Maltepe ,2425000,21 Ve Üzeri,85 m2,
1272, Küçükçekmece ,2050000,5-10,110 m2,
1273, Küçükçekmece ,3000000,0 (Yeni),Sıfır,165 m2
1274, Arnavutköy ,1775000,0 (Yeni),210 m2,Sıfır
1275, Küçükçekmece ,2050000,16-20,110 m2,
1276, Bağcılar ,1750000,11-15,90 m2,İkinci El
1277, Küçükçekmece ,1850000,5-10,Sıfır,140 m2
1278, Arnavutköy ,12000000,0 (Yeni),104 m2,
1279, Pendik ,910000,21 Ve Üzeri,İkinci El,90 m2
1280, Küçükçekmece ,3700000,11-15,85 m2,
1281, Esenyurt ,1600000,4,50 m2,İkinci El
1282, Gaziosmanpaşa ,1200000,5-10,55 m2,İkinci El
1283, Gaziosmanpaşa ,1495000,21 Ve Üzeri,90 m2,
1284, Gaziosmanpaşa ,1450000,11-15,İkinci El,90 m2
1285, Üsküdar ,4400000,0 (Yeni),86 m2,
1286, Fatih ,1720000,21 Ve Üzeri,75 m2,
1287, Şişli ,3500000,16-20,85 m2,
1288, Eyüpsultan ,2250000,21 Ve Üzeri,İkinci El,85 m2
1289, Esenyurt ,2950000,5-10,62 m2,
1290, Esenyurt ,2950000,5-10,62 m2,
1291, Beylikdüzü ,3750000,5-10,95 m2,
1292, Arnavutköy ,1700000,5-10,115 m2,
1293, Fatih ,1150000,21 Ve Üzeri,77 m2,
1294, Kağıthane ,2500000,5-10,80 m2,
1295, Kartal ,2350000,0 (Yeni),90 m2,
1296, Esenyurt ,1050000,0 (Yeni),Sıfır,90 m2
1297, Maltepe ,1550000,4,75 m2,
1298, Esenyurt ,1350000,2,Sıfır,95 m2
1299, Beylikdüzü ,2800000,11-15,125 m2,İkinci El
1300, Esenyurt ,1550000,5-10,125 m2,
1301, Bakırköy ,6800000,21 Ve Üzeri,İkinci El,130 m2
1302, Fatih ,4300000,0 (Yeni),100 m2,
1303, Bahçelievler ,1250000,3,55 m2,
1304, Başakşehir ,1650000,16-20,90 m2,
1305, Ümraniye ,3200000,0 (Yeni),Sıfır,100 m2
1306, Bahçelievler ,100000,0 (Yeni),100 m2,
1307, Kağıthane ,21000000,16-20,1.200.000 m2,
1308, Bağcılar ,650000,21 Ve Üzeri,İkinci El,75 m2
1309, Beylikdüzü ,2099000,5-10,İkinci El,140 m2
1310, Ataşehir ,3350000,4,İkinci El,100 m2
1311, Esenyurt ,737000,0 (Yeni),Sıfır,100 m2
1312, Ataşehir ,3350000,4,İkinci El,100 m2
1313, Büyükçekmece ,5850000,0 (Yeni),Sıfır,250 m2
1314, Esenyurt ,644000,0 (Yeni),Sıfır,100 m2
1315, Beylikdüzü ,2199000,0 (Yeni),Sıfır,105 m2
1316, Beylikdüzü ,1150000,5-10,Sıfır,120 m2
1317, Kadıköy ,26500000,5-10,305 m2,
1318, Çekmeköy ,1750000,1,80 m2,
1319, Esenyurt ,1990000,5-10,122 m2,
1320, Beylikdüzü ,820000,0 (Yeni),100 m2,
1321, Beylikdüzü ,599000,0 (Yeni),110 m2,
1322, Beylikdüzü ,1280000,0 (Yeni),100 m2,
1323, Üsküdar ,5000000,11-15,260 m2,
1324, Kartal ,4950000,5-10,105 m2,
1325, Başakşehir ,1845000,3,180 m2,
1326, Esenyurt ,1179000,3,89 m2,
1327, Esenyurt ,2550000,5-10,125 m2,
1328, Esenyurt ,2599000,5-10,250 m2,
1329, Kadıköy ,6495000,21 Ve Üzeri,155 m2,
1330, Kadıköy ,8575000,21 Ve Üzeri,115 m2,
1331, Üsküdar ,15800000,16-20,280 m2,
1332, Kağıthane ,1950000,5-10,105 m2,
1333, Kadıköy ,5100000,21 Ve Üzeri,115 m2,
1334, Büyükçekmece ,5000000,21 Ve Üzeri,450 m2,
1335, Kadıköy ,8500000,21 Ve Üzeri,100 m2,
1336, Sarıyer ,4200000,5-10,Sıfır,40 m2
1337, Sarıyer ,5250000,5-10,İkinci El,75 m2
1338, Sarıyer ,9850000,5-10,Sıfır,165 m2
1339, Kadıköy ,5300000,21 Ve Üzeri,140 m2,
1340, Arnavutköy ,2850000,11-15,İkinci El,140 m2
1341, Pendik ,2250000,16-20,116 m2,
1342, Beylikdüzü ,1399900,0 (Yeni),Sıfır,120 m2
1343, Kadıköy ,14750000,4,105 m2,
1344, Bahçelievler ,2150000,21 Ve Üzeri,İkinci El,120 m2
1345, Güngören ,1300000,21 Ve Üzeri,İkinci El,90 m2
1346, Gaziosmanpaşa ,3900000,5-10,90 m2,
1347, Esenyurt ,1375000,0 (Yeni),Sıfır,90 m2
1348, Kadıköy ,17950000,4,220 m2,
1349, Bağcılar ,2750000,4,95 m2,İkinci El
1350, Beylikdüzü ,1975000,5-10,105 m2,
1351, Kadıköy ,4950000,4,75 m2,İkinci El
1352, Gaziosmanpaşa ,1750000,0 (Yeni),Sıfır,80 m2
1353, Beylikdüzü ,3000000,0 (Yeni),Sıfır,135 m2
1354, Beylikdüzü ,1400000,0 (Yeni),Sıfır,100 m2
1355, Bahçelievler ,1500000,0 (Yeni),Sıfır,70 m2
1356, Esenyurt ,980000,5-10,İkinci El,80 m2
1357, Esenyurt ,935000,11-15,İkinci El,85 m2
1358, Bahçelievler ,1600000,0 (Yeni),Sıfır,70 m2
1359, Ataşehir ,3000000,11-15,İkinci El,145 m2
1360, Sancaktepe ,1520000,4,İkinci El,80 m2
1361, Güngören ,1150000,21 Ve Üzeri,İkinci El,85 m2
1362, Sancaktepe ,2250000,5-10,İkinci El,90 m2
1363, Bahçelievler ,1980000,0 (Yeni),Sıfır,80 m2
1364, Bakırköy ,5850000,21 Ve Üzeri,155 m2,
1365, Beylikdüzü ,2890000,11-15,Sıfır,130 m2
1366, Güngören ,1295000,21 Ve Üzeri,80 m2,İkinci El
1367, Üsküdar ,1675000,3,90 m2,
1368, Esenler ,2050000,0 (Yeni),85 m2,
1369, Beylikdüzü ,1900000,0 (Yeni),Sıfır,95 m2
1370, Beylikdüzü ,870000,0 (Yeni),Sıfır,110 m2
1371, Beylikdüzü ,790000,5-10,110 m2,
1372, Beylikdüzü ,910000,3,100 m2,
1373, Beylikdüzü ,820000,0 (Yeni),Sıfır,110 m2
1374, Esenyurt ,1050000,2,Sıfır,85 m2
1375, Gaziosmanpaşa ,2700000,0 (Yeni),Sıfır,130 m2
1376, Esenyurt ,3320000,5-10,130 m2,
1377, Beylikdüzü ,1360000,1,Sıfır,96 m2
1378, Sultangazi ,865000,5-10,85 m2,
1379, Sultanbeyli ,2250000,0 (Yeni),105 m2,
1380, Beylikdüzü ,1360000,1,Sıfır,96 m2
1381, Sultangazi ,865000,5-10,85 m2,
1382, Sultanbeyli ,2250000,0 (Yeni),105 m2,
1383, Bahçelievler ,2350000,0 (Yeni),Sıfır,82 m2
1384, Bahçelievler ,3250000,5-10,İkinci El,125 m2
1385, Esenyurt ,1295000,0 (Yeni),115 m2,
1386, Bahçelievler ,2700000,5-10,118 m2,
1387, Esenyurt ,945000,0 (Yeni),115 m2,
1388, Fatih ,900000,21 Ve Üzeri,70 m2,
1389, Maltepe ,3950000,0 (Yeni),Sıfır,110 m2
1390, Bahçelievler ,1800000,21 Ve Üzeri,İkinci El,120 m2
1391, Esenyurt ,1600000,5-10,120 m2,
1392, Kadıköy ,2950000,16-20,İkinci El,70 m2
1393, Esenyurt ,1980000,0 (Yeni),Sıfır,62 m2
1394, Esenyurt ,1680000,5-10,İkinci El,120 m2
1395, Esenyurt ,1350000,0 (Yeni),Sıfır,100 m2
1396, Tuzla ,580000,21 Ve Üzeri,60 m2,
1397, Şişli ,1950000,21 Ve Üzeri,İkinci El,80 m2
1398, Beylikdüzü ,699900,0 (Yeni),Sıfır,70 m2
1399, Ümraniye ,2265000,3,90 m2,
1400, Esenyurt ,849900,0 (Yeni),Sıfır,130 m2
1401, Ümraniye ,1800000,0 (Yeni),65 m2,
1402, Güngören ,750000,21 Ve Üzeri,75 m2,
1403, Beylikdüzü ,1050000,0 (Yeni),Sıfır,100 m2
1404, Esenyurt ,765000,2,Sıfır,85 m2
1405, Esenyurt ,899999,0 (Yeni),Sıfır,95 m2
1406, Bakırköy ,11500000,5-10,İkinci El,200 m2
1407, Esenyurt ,1250000,5-10,100 m2,
1408, Pendik ,1520000,5-10,Sıfır,90 m2
1409, Esenyurt ,575000,0 (Yeni),Sıfır,95 m2
1410, Kartal ,880000,21 Ve Üzeri,İkinci El,55 m2
1411, Esenyurt ,920000,5-10,İkinci El,90 m2
1412, Esenyurt ,2199000,5-10,140 m2,
1413, Sultanbeyli ,1680000,1,Sıfır,110 m2
1414, Pendik ,1300000,11-15,İkinci El,75 m2
1415, Esenyurt ,1800000,5-10,İkinci El,145 m2
1416, Beşiktaş ,5950000,21 Ve Üzeri,80 m2,
1417, Maltepe ,1075000,4,84 m2,
1418, Maltepe ,1100000,5-10,75 m2,
1419, Güngören ,4250000,0 (Yeni),İkinci El,125 m2
1420, Esenyurt ,950000,0 (Yeni),Sıfır,95 m2
1421, Esenyurt ,1150000,5-10,Sıfır,90 m2
1422, Bayrampaşa ,2750000,5-10,105 m2,
1423, Ataşehir ,1860000,3,İkinci El,75 m2
1424, Kadıköy ,3925000,21 Ve Üzeri,98 m2,
1425, Ataşehir ,2150000,21 Ve Üzeri,100 m2,
1426, Beylikdüzü ,910000,5-10,İkinci El,95 m2
1427, Sultangazi ,1550000,4,İkinci El,90 m2
1428, Esenyurt ,829000,4,Sıfır,90 m2
1429, Başakşehir ,2450000,5-10,107 m2,
1430, Bahçelievler ,1900000,0 (Yeni),Sıfır,90 m2
1431, Şişli ,3700000,4,65 m2,İkinci El
1432, Bahçelievler ,1270000,11-15,İkinci El,75 m2
1433, Esenyurt ,1149000,4,85 m2,
1434, Bahçelievler ,1480000,11-15,İkinci El,80 m2
1435, Bahçelievler ,2200000,5-10,140 m2,
1436, Küçükçekmece ,2525000,5-10,Sıfır,115 m2
1437, Fatih ,1400000,21 Ve Üzeri,80 m2,
1438, Fatih ,1600000,21 Ve Üzeri,İkinci El,95 m2
1439, Esenyurt ,1650000,1,60 m2,
1440, Esenyurt ,1150000,5-10,Sıfır,90 m2
1441, Bayrampaşa ,2750000,5-10,105 m2,
1442, Ataşehir ,1860000,3,İkinci El,75 m2
1443, Kadıköy ,3925000,21 Ve Üzeri,98 m2,
1444, Ataşehir ,2150000,21 Ve Üzeri,100 m2,
1445, Beylikdüzü ,910000,5-10,İkinci El,95 m2
1446, Sultangazi ,1550000,4,İkinci El,90 m2
1447, Esenyurt ,829000,4,Sıfır,90 m2
1448, Başakşehir ,2450000,5-10,107 m2,
1449, Bahçelievler ,1900000,0 (Yeni),Sıfır,90 m2
1450, Gaziosmanpaşa ,2300000,5-10,115 m2,
1451, Şişli ,3700000,4,65 m2,İkinci El
1452, Bahçelievler ,1270000,11-15,İkinci El,75 m2
1453, Esenyurt ,1149000,4,85 m2,
1454, Pendik ,3520000,0 (Yeni),125 m2,
1455, Bahçelievler ,1480000,11-15,İkinci El,80 m2
1456, Bahçelievler ,2200000,5-10,140 m2,
1457, Küçükçekmece ,2525000,5-10,Sıfır,115 m2
1458, Fatih ,1400000,21 Ve Üzeri,80 m2,
1459, Fatih ,1600000,21 Ve Üzeri,İkinci El,95 m2
1460, Esenyurt ,1650000,1,60 m2,
1461, Küçükçekmece ,1190000,0 (Yeni),90 m2,
1462, Kadıköy ,5450000,21 Ve Üzeri,115 m2,
1463, Bahçelievler ,1900000,0 (Yeni),85 m2,
1464, Şile ,2500000,21 Ve Üzeri,110 m2,
1465, Başakşehir ,945000,4,90 m2,
1466, Esenyurt ,1800000,11-15,150 m2,
1467, Esenyurt ,3350000,5-10,130 m2,
1468, Beylikdüzü ,2650000,16-20,125 m2,
1469, Küçükçekmece ,890000,16-20,110 m2,
1470, Şişli ,3800000,21 Ve Üzeri,İkinci El,110 m2
1471, Kağıthane ,1530000,11-15,65 m2,
1472, Küçükçekmece ,1330000,0 (Yeni),70 m2,
1473, Esenyurt ,1280000,1,Sıfır,165 m2
1474, Esenyurt ,760000,4,Sıfır,85 m2
1475, Beylikdüzü ,1600000,0 (Yeni),60 m2,
1476, Silivri ,1080000,21 Ve Üzeri,80 m2,İkinci El
1477, Sancaktepe ,5870000,11-15,188 m2,
1478, Şişli ,3250000,5-10,135 m2,
1479, Fatih ,2630000,21 Ve Üzeri,80 m2,
1480, Esenyurt ,910000,4,İkinci El,90 m2
1481, Sultanbeyli ,2900000,5-10,İkinci El,107 m2
1482, Ümraniye ,2550000,11-15,İkinci El,140 m2
1483, Bahçelievler ,1480000,5-10,84 m2,
1484, Şişli ,850000,16-20,70 m2,İkinci El
1485, Esenyurt ,999000,5-10,İkinci El,65 m2
1486, Bakırköy ,7375000,21 Ve Üzeri,120 m2,
1487, Sancaktepe ,1795000,1,İkinci El,56 m2
1488, Esenyurt ,899000,4,İkinci El,90 m2
1489, Üsküdar ,885000,21 Ve Üzeri,65 m2,
1490, Ümraniye ,3050000,11-15,90 m2,
1491, Kağıthane ,2350000,0 (Yeni),50 m2,
1492, Esenyurt ,1150000,3,60 m2,
1493, Esenyurt ,889000,2,85 m2,
1494, Bahçelievler ,1700000,4,80 m2,
1495, Büyükçekmece ,1190000,0 (Yeni),80 m2,
1496, Sancaktepe ,2400000,4,İkinci El,65 m2
1497, Beylikdüzü ,5850000,2,İkinci El,100 m2
1498, Silivri ,1350000,11-15,150 m2,
1499, Başakşehir ,749000,0 (Yeni),80 m2,
1500, Ümraniye ,1800000,11-15,İkinci El,75 m2
1501, Çekmeköy ,1350000,3,70 m2,
1502, Çekmeköy ,1375000,5-10,İkinci El,95 m2
1503, Beylikdüzü ,4050000,0 (Yeni),Sıfır,200 m2
1504, Esenyurt ,1245000,3,İkinci El,115 m2
1505, Büyükçekmece ,1600000,21 Ve Üzeri,85 m2,
1506, Başakşehir ,3550000,16-20,100 m2,
1507, Küçükçekmece ,730000,16-20,80 m2,
1508, Esenyurt ,1000000,0 (Yeni),Sıfır,85 m2
1509, Başakşehir ,795000,2,90 m2,
1510, Büyükçekmece ,1650000,16-20,145 m2,
1511, Zeytinburnu ,4000000,0 (Yeni),140 m2,
1512, Bahçelievler ,750000,21 Ve Üzeri,70 m2,
1513, Kağıthane ,1850000,21 Ve Üzeri,90 m2,
1514, Tuzla ,1360000,11-15,115 m2,
1515, Bahçelievler ,6750000,0 (Yeni),Sıfır,115 m2
1516, Ataşehir ,2490000,5-10,85 m2,İkinci El
1517, Bahçelievler ,2800000,0 (Yeni),Sıfır,90 m2
1518, Beykoz ,111111111,0 (Yeni),111 m2,Sıfır
1519, Bağcılar ,850000,21 Ve Üzeri,İkinci El,80 m2
1520, Kadıköy ,7200000,0 (Yeni),96 m2,
1521, Sancaktepe ,850000,16-20,100 m2,
1522, Bakırköy ,3200000,21 Ve Üzeri,İkinci El,55 m2
1523, Başakşehir ,3200000,3,93 m2,
1524, Beylikdüzü ,2599000,0 (Yeni),Sıfır,100 m2
1525, Esenyurt ,1600000,4,İkinci El,140 m2
1526, Esenyurt ,1450000,0 (Yeni),Sıfır,120 m2
1527, Beylikdüzü ,2000000,3,Sıfır,120 m2
